Date,Actual,Predicted,Province
2023-07-09,95.428571425,38.46087622642517,Central Luzon
2023-07-16,98.285714281,55.420997470617294,Central Luzon
2023-07-23,87.000000004,72.5059564113617,Central Luzon
2023-07-30,82.428571423,77.02329754829407,Central Luzon
2023-08-06,122.14285714,83.43783187866211,Central Luzon
2023-08-13,119.000000004,153.44004106521606,Central Luzon
2023-08-20,98.428571431,213.22925806045532,Central Luzon
2023-08-27,79.28571429,214.22975730895996,Central Luzon
2023-09-03,69.0,158.2251055240631,Central Luzon
2023-09-10,70.42857143,121.76755422353745,Central Luzon
2023-09-17,104.85714286,125.94128894805908,Central Luzon
2023-09-24,87.285714286,166.10188579559326,Central Luzon
2023-10-01,95.42857143,172.73436361551285,Central Luzon
2023-10-08,97.71428571,159.1369984149933,Central Luzon
2023-10-15,99.0,129.4934103488922,Central Luzon
2023-10-22,97.28571429,121.42087435722351,Central Luzon
2023-10-29,82.0,122.02906954288483,Central Luzon
2023-11-05,99.0,118.79908800125122,Central Luzon
2023-11-12,103.142857138,113.05340051651001,Central Luzon
2023-11-19,104.571428576,108.01127862930298,Central Luzon
2023-11-26,101.0,100.11867904663086,Central Luzon
2023-12-03,111.0,88.52995181083679,Central Luzon
2023-12-10,111.0,80.37956237792969,Central Luzon
2023-12-17,48.428571429,70.40149259567261,Central Luzon
2023-12-24,36.571428571,72.06032371520996,Central Luzon
2023-12-31,33.0,74.56627625226974,Central Luzon
